,index,budget,genres,id,original_language,popularity,production_countries,runtime,spoken_languages,video,vote_average,vote_count,duration,director,production_company,actors,year,month,day,x,revenue
296,402,26000000.0,1.0,7445.0,1.0,9.108917,1.0,104.0,6.0,1.0,6.8,650.0,105.0,1.0,1.0,2,2009.0,1.0,27.0,2,73305286.76
297,175,2000000.0,13.0,179053.0,8.0,2.2562450000000003,14.0,75.0,14.0,1.0,4.8,29.0,75.0,0.0,1.0,2,2013.0,4.0,3.0,2,6886296.7541324515
298,602,14000000.0,20.0,88036.0,1.0,2.2438599999999997,1.0,116.0,6.0,1.0,5.8,36.0,98.0,0.0,1.0,3,2012.0,8.0,17.0,3,8912554.189527718
299,377,0.0,7.0,54309.0,7.0,4.34552,10.0,0.0,9.0,1.0,5.0,137.0,102.0,0.0,1.0,3,2007.0,2.0,14.0,3,29118619.871717174
300,207,0.0,20.0,48561.0,7.0,0.329373,10.0,109.0,9.0,1.0,6.6,7.0,109.0,1.0,1.0,3,1982.0,10.0,7.0,3,3756593.2495764047
301,238,0.0,5.0,96600.0,1.0,5.3623769999999995,1.0,98.0,1.0,1.0,5.1,7.0,98.0,1.0,1.0,3,2012.0,6.0,22.0,3,3378891.5993785555
302,774,20000000.0,10.0,11458.0,1.0,5.7578949999999995,1.0,100.0,1.0,1.0,5.5,48.0,100.0,1.0,1.0,3,2002.0,11.0,21.0,3,8494993.348868527
303,839,6000000.0,10.0,264644.0,1.0,12.443291,20.0,117.0,1.0,1.0,8.1,2838.0,75.0,0.0,1.0,3,2015.0,10.0,16.0,3,144668959.57333332
304,827,0.0,4.0,62327.0,1.0,0.809129,1.0,102.0,1.0,1.0,5.3,6.0,106.0,1.0,1.0,3,1987.0,9.0,1.0,3,3307318.1254426367
305,1229,5000000.0,1.0,44629.0,1.0,9.649312,9.0,113.0,1.0,1.0,6.7,240.0,113.0,0.0,1.0,3,2010.0,6.0,3.0,3,13757998.311950771
306,892,11180.0,10.0,98203.0,1.0,0.6609689999999999,5.0,120.0,2.0,1.0,5.9,11.0,120.0,0.0,1.0,3,2012.0,9.0,5.0,3,2150759.1964412923
307,842,19000000.0,1.0,328387.0,1.0,14.9837,1.0,96.0,1.0,1.0,7.1,2262.0,96.0,0.0,1.0,3,2016.0,7.0,27.0,3,276691725.8066667
308,960,16000000.0,8.0,13972.0,1.0,6.62363,1.0,114.0,1.0,1.0,4.6,96.0,114.0,0.0,1.0,3,2008.0,9.0,12.0,3,19917171.898274247
309,896,0.0,2.0,4580.0,2.0,0.690072,6.0,90.0,5.0,1.0,7.7,10.0,89.0,0.0,1.0,3,1976.0,3.0,10.0,3,4461487.744363959
310,894,135000000.0,1.0,228161.0,1.0,13.422713,1.0,94.0,1.0,1.0,6.8,1539.0,91.0,0.0,1.0,3,2015.0,3.0,18.0,3,368351790.06
311,1074,0.0,1.0,51927.0,1.0,0.489997,3.0,140.0,3.0,1.0,6.7,13.0,102.0,0.0,1.0,3,2002.0,9.0,9.0,3,2475362.7716571544
312,870,0.0,2.0,35650.0,2.0,1.343844,8.0,87.0,2.0,1.0,6.3,18.0,87.0,1.0,1.0,3,2000.0,9.0,8.0,3,3390440.3524018875
313,1007,0.0,1.0,33345.0,1.0,6.421995,1.0,98.0,6.0,1.0,5.7,12.0,100.0,0.0,4.0,3,1986.0,7.0,2.0,3,11073021.476381388
314,1088,0.0,5.0,11235.0,1.0,10.636074,2.0,111.0,1.0,1.0,7.0,81.0,111.0,0.0,1.0,3,1983.0,2.0,17.0,3,13451948.323392484
315,408,10000000.0,1.0,127521.0,1.0,7.293335000000001,1.0,115.0,2.0,1.0,5.5,91.0,115.0,0.0,1.0,3,2012.0,9.0,11.0,3,24589525.629057
316,1122,10000000.0,4.0,41823.0,1.0,2.715137,1.0,129.0,1.0,1.0,6.3,48.0,129.0,1.0,2.0,3,1990.0,8.0,3.0,3,16787403.773930494
